Estado,Ciudad,Longitud,Latitud
Ciudad de MÃ©xico,CuauhtÃ©moc,-99.0906781,19.2629928
Ciudad de MÃ©xico,Miguel Hidalgo,-99.1126716,19.2426168
Ciudad de MÃ©xico,Venustiano Carranza,-99.0649324,19.2509343
Durango,CanatlÃ¡n,-104.4642145,24.3138148
Durango,Canelas,-106.3244279,25.0722695
Durango,Coneto de Comonfort,-104.4608101,24.5844849
Durango,CuencamÃ©,-103.4154463,24.5215382
Durango,Durango,-104.40127,24.0126357
Durango,General SimÃ³n BolÃ­var,-103.1333511,24.4120666
Durango,GÃ³mez Palacio,-103.2947101,25.3412386
Durango,Guadalupe Victoria,-104.0725176,24.264716
Durango,GuanacevÃ­,-105.5715955,25.5553983
Durango,Hidalgo,-104.5448523,26.1505203
Durango,IndÃ©,-105.1325648,25.5443276
Durango,Lerdo,-103.3129458,25.3211586
Durango,MapimÃ­,-103.5053497,25.4959965
Durango,Mezquital,-104.2348278,23.2824709
Durango,Nazas,-104.0649691,25.1339996
Durango,Nombre de Dios,-104.1440938,23.5053559
Durango,Ocampo,-105.302318,26.2629623
Durango,El Oro,-105.2153516,25.5657566
Durango,OtÃ¡ez,-105.5938607,24.4155281
Durango,PÃ¡nuco de Coronado,-104.1909352,24.2403688
Durango,PeÃ±Ã³n Blanco,-104.020336,24.4733031
Durango,Poanas,-104.023889,23.5830332
Durango,Pueblo Nuevo,-105.2136691,23.4641342
Durango,Rodeo,-104.33376,25.1050587
Durango,San Bernardo,-105.3123724,26.0002834
Durango,San Dimas,-105.5552482,24.0607854
Durango,San Juan de Guadalupe,-102.4655397,24.375107
Durango,San Juan del RÃ­o,-104.2733212,24.4641718
Durango,San Luis del Cordero,-104.164003,25.2503535
Durango,San Pedro del Gallo,-104.1734203,25.335711
Durango,Santa Clara,-103.2126,24.2831598
Durango,Santiago Papasquiaro,-105.2515402,25.0220687
Durango,SÃºchil,-103.5518731,23.3719787
Durango,Tamazula,-106.5759766,24.5813138
Durango,Tepehuanes,-105.4322807,25.2035551
Durango,Tlahualilo,-103.2621249,26.0626589
Durango,Topia,-106.3416305,25.1232481
Durango,Vicente Guerrero,-103.5916,23.4352
Durango,Nuevo Ideal,-105.0427139,24.5317928
Guanajuato,Abasolo,-101.3142098,20.270324
Guanajuato,AcÃ¡mbaro,-100.4309575,20.0207369
Guanajuato,San Miguel de Allende,-100.4248173,20.5414446
Guanajuato,Apaseo el Alto,-100.3717855,20.2725817
Guanajuato,Apaseo el Grande,-100.4117581,20.3243023
Guanajuato,Atarjea,-99.4312962,21.1601345
Guanajuato,Celaya,-100.4848863,20.3117486
Guanajuato,Manuel Doblado,-101.5710045,20.4339065
Guanajuato,Comonfort,-100.4540328,20.4312171
Guanajuato,Coroneo,-100.2152,20.1155
Guanajuato,Cortazar,-100.5749424,20.2900623
Guanajuato,CuerÃ¡maro,-101.4013389,20.3735322
Guanajuato,Doctor Mora,-100.1908218,21.0833504
Guanajuato,Dolores Hidalgo Cuna de la Independencia Nacional,-100.5502048,21.0933121
Guanajuato,Guanajuato,-101.1513037,21.0057951
Guanajuato,HuanÃ­maro,-101.294872,20.2205788
Guanajuato,Irapuato,-101.2053221,20.4022085
Guanajuato,Jaral del Progreso,-101.035031,20.223546
Guanajuato,JerÃ©cuaro,-100.3037901,20.0900121
Guanajuato,LeÃ³n,-101.4059519,21.0719099
Guanajuato,MoroleÃ³n,-101.1121151,20.0754733
Guanajuato,Ocampo,-101.2840859,21.3854572
Guanajuato,PÃ©njamo,-101.4330158,20.2554461
Guanajuato,Pueblo Nuevo,-101.2215049,20.3133446
Guanajuato,PurÃ­sima del RincÃ³n,-101.5241157,21.0146485
Guanajuato,Romita,-101.3101622,20.5216374
Guanajuato,Salamanca,-101.1159695,20.340725
Guanajuato,Salvatierra,-100.5252896,20.1258023
Guanajuato,San Diego de la UniÃ³n,-100.5223939,21.2758992
Guanajuato,San Felipe,-101.1257401,21.2845609
Guanajuato,San Francisco del RincÃ³n,-101.5130665,21.0107253
Guanajuato,San JosÃ© Iturbide,-100.2308593,21.0002959
Guanajuato,San Luis de la Paz,-100.3054452,21.1755738
Guanajuato,Santa Catarina,-100.0400887,21.0823559
Guanajuato,Santa Cruz de Juventino Rosas,-100.5938534,20.3835521
Guanajuato,Santiago MaravatÃ­o,-100.5942812,20.1020665
Guanajuato,Silao de la Victoria,-101.2534378,20.5640021
Guanajuato,Tarandacuao,-100.3058783,20.0014285
Guanajuato,Tarimoro,-100.4521391,20.1718746
Guanajuato,Tierra Blanca,-100.0932954,21.0600009
Guanajuato,Uriangato,-101.1040984,20.0827642
Guanajuato,Valle de Santiago,-101.1053147,20.232876
Guanajuato,Victoria,-100.1257369,21.124382
Guanajuato,VillagrÃ¡n,-100.594741,20.3040938
Guanajuato,XichÃº,-100.0334604,21.1754988
Guanajuato,Yuriria,-101.075136,20.1245876
Guerrero,Acapulco de JuÃ¡rez,-99.5311608,16.5142721
Guerrero,Ahuacuotzingo,-98.5605668,17.425072
Guerrero,AjuchitlÃ¡n del Progreso,-100.2945805,18.0934397
Guerrero,Alcozauca de Guerrero,-98.2301996,17.2748686
Guerrero,Alpoyeca,-98.304766,17.401223
Guerrero,Apaxtla,-99.5556329,18.0748282
Guerrero,Arcelia,-100.1702227,18.185697
Guerrero,Atenango del RÃ­o,-99.0628091,18.0615635
Guerrero,Atlamajalcingo del Monte,-98.3618307,17.1841959
Guerrero,Atlixtac,-98.5559636,17.3349245
Guerrero,Atoyac de Ãlvarez,-100.2559266,17.124586
Guerrero,Ayutla de los Libres,-99.0550582,16.5755033
Guerrero,AzoyÃº,-98.3603927,16.4358657
Guerrero,Benito JuÃ¡rez,-100.2807205,17.0810931
Guerrero,Buenavista de CuÃ©llar,-99.2419232,18.2728394
Guerrero,Coahuayutla de JosÃ© MarÃ­a Izazaga,-101.4404601,18.1859022
Guerrero,Cocula,-99.3940284,18.1409119
Guerrero,Copala,-98.5843045,16.3631533
Guerrero,Copalillo,-99.0230208,18.0202945
Guerrero,Copanatoyac,-98.4248466,17.2742641
Guerrero,Coyuca de BenÃ­tez,-100.0521722,17.0032406
Guerrero,Coyuca de CatalÃ¡n,-100.4154837,18.195167
Guerrero,Cuajinicuilapa,-98.2500281,16.2819148
Guerrero,CualÃ¡c,-98.393862,17.4433942
Guerrero,Cuautepec,-99.0005564,16.445641
Guerrero,Cuetzala del Progreso,-99.4953348,18.0802909
Guerrero,Cutzamala de PinzÃ³n,-100.3442646,18.275488
Guerrero,Chilapa de Ãlvarez,-99.1039654,17.3539236
Guerrero,Chilpancingo de los Bravo,-99.3003826,17.3305938
Guerrero,Florencio Villarreal,-99.0725634,16.432597
Guerrero,General Canuto A. Neri,-100.0419386,18.2506545
Guerrero,General Heliodoro Castillo,-99.5841944,17.4722013
Guerrero,HuamuxtitlÃ¡n,-98.3355032,17.4807828
Guerrero,Huitzuco de los Figueroa,-99.2003491,18.1821528
Guerrero,Iguala de la Independencia,-99.3218126,18.2040377
Guerrero,Igualapa,-98.2835823,16.4437368
Guerrero,Ixcateopan de CuauhtÃ©moc,-99.473685,18.3008828
Guerrero,Zihuatanejo de Azueta,-101.3253432,17.3901647
Guerrero,Juan R. Escudero,-99.3119369,17.1008416
Guerrero,Leonardo Bravo,-99.4038426,17.3938887
Guerrero,Malinaltepec,-98.4015987,17.1440662
Guerrero,MÃ¡rtir de Cuilapan,-99.1945628,17.4430931
Guerrero,MetlatÃ³noc,-98.2425558,17.114334
Guerrero,MochitlÃ¡n,-99.221666,17.2820488
Guerrero,OlinalÃ¡,-98.4428523,17.4641996
Guerrero,Ometepec,-98.2415917,16.4106321
Guerrero,Pedro Ascencio Alquisiras,-99.5313264,18.3044511
Guerrero,PetatlÃ¡n,-101.1628387,17.3217544
Guerrero,Pilcaya,-99.4034229,18.4451302
Guerrero,Pungarabato,-100.4005667,18.2144182
Guerrero,Quechultenango,-99.1427,17.2433
Guerrero,San Luis AcatlÃ¡n,-98.4401006,16.4830899
Guerrero,San Marcos,-99.2324167,16.4750437
Guerrero,San Miguel Totolapan,-100.2326956,18.094056
Guerrero,Taxco de AlarcÃ³n,-99.3616541,18.3326575
Guerrero,Tecoanapa,-99.1539155,16.5919876
Guerrero,TÃ©cpan de Galeana,-100.375656,17.1321391
Guerrero,Teloloapan,-99.5210462,18.2218513
Guerrero,Tepecoacuilco de Trujano,-99.2800099,18.1713163
Guerrero,Tetipac,-99.3856336,18.3857787
Guerrero,Tixtla de Guerrero,-99.2353777,17.3400207
Guerrero,Tlacoachistlahuaca,-98.1806296,16.4835672
Guerrero,Tlacoapa,-98.4453561,17.1535814
Guerrero,Tlalchapa,-100.2841712,18.2431228
Guerrero,Tlalixtaquilla de Maldonado,-98.2211504,17.3428141
Guerrero,Tlapa de Comonfort,-98.3455698,17.3249018
Guerrero,Tlapehuala,-100.3229667,18.1423137
Guerrero,La UniÃ³n de Isidoro Montes de Oca,-101.4820465,17.58564
Guerrero,XalpatlÃ¡huac,-98.3623217,17.2815151
Guerrero,XochihuehuetlÃ¡n,-98.2915581,17.5420305
Guerrero,Xochistlahuaca,-98.143288,16.4732725
Guerrero,ZapotitlÃ¡n Tablas,-98.4654152,17.2522394
Guerrero,ZirÃ¡ndaro,-100.5833082,18.2844877
Guerrero,Zitlala,-99.1106892,17.4125226
Guerrero,Eduardo Neri,-99.3133372,17.391151
Guerrero,Acatepec,-98.5437201,17.1930788
Guerrero,Marquelia,-98.4904267,16.345993
Guerrero,Cochoapa el Grande,-98.2719007,17.1134681
Guerrero,JosÃ© JoaquÃ­n de Herrera,-99.0127796,17.2655414
Guerrero,JuchitÃ¡n,-98.3812169,16.3737454
Guerrero,Iliatenco,-98.4108921,17.0243911
Hidalgo,AcatlÃ¡n,-98.2618139,20.0845251
Hidalgo,AcaxochitlÃ¡n,-98.1211679,20.0931296
Hidalgo,Actopan,-98.5634442,20.1608709
Hidalgo,Agua Blanca de Iturbide,-98.212299,20.2058214
Hidalgo,Ajacuba,-99.0719677,20.053309
Hidalgo,Alfajayucan,-99.2058521,20.2435896
Hidalgo,Almoloya,-98.2411855,19.421195
Hidalgo,Apan,-98.2707,19.4236
Hidalgo,El Arenal,-98.5439764,20.1317126
Hidalgo,Atitalaquia,-99.1316063,20.0332957
Hidalgo,Atlapexco,-98.2053472,21.010161
Hidalgo,Atotonilco el Grande,-98.4008622,20.1712774
Hidalgo,Atotonilco de Tula,-99.1312687,20.002796
Hidalgo,Calnali,-98.3500716,20.534984
Hidalgo,Cardonal,-99.0701448,20.3648199
Hidalgo,Cuautepec de Hinojosa,-98.1835057,20.0207692
Hidalgo,Chapantongo,-99.2447632,20.1707136
Hidalgo,ChapulhuacÃ¡n,-98.5416515,21.0933904
Hidalgo,Chilcuautla,-99.1354288,20.1951462
Hidalgo,EloxochitlÃ¡n,-98.4832907,20.4448183
Hidalgo,Emiliano Zapata,-98.3250698,19.392523
Hidalgo,Epazoyucan,-98.3810353,20.0104878
Hidalgo,Francisco I. Madero,-99.0520017,20.1442668
Hidalgo,Huasca de Ocampo,-98.3439413,20.1213
Hidalgo,Huautla,-98.1712555,21.0152992
Hidalgo,Huazalingo,-98.3027894,20.5849089
Hidalgo,Huehuetla,-98.0442328,20.27371
